Graph,,
Time (Seconds),omegaMes (User unit),omegaRef (User unit)
0,Null,Null
0.05,0,1
0.1,0.926254,1
0.15,0.068828,1
0.2,0.874512,1
0.25,0.119963,1
0.3,0.837185,1
0.35,0.153045,1
0.4,0.796956,1
0.45,0.189532,1
0.5,0.761008,1
0.55,0.22198,1
0.6,0.723285,1
0.65,0.257058,1
0.7,0.686614,1
0.75,0.301975,1
0.8,0.647908,1
0.85,0.326114,1
0.9,0.627756,1
0.95,0.353355,1
1,0.596345,1
1.05,0.375123,1
1.1,0.580862,1
1.15,0.395506,1
1.2,0.559044,1
1.25,0.408002,1
1.3,0.552451,1
1.35,0.414123,1
1.4,0.543152,1
1.45,0.427676,1
1.5,0.527414,1
1.55,0.438666,1
1.6,0.524131,1
1.65,0.436996,1
1.7,0.534312,1
1.75,0.436702,1
1.8,0.524403,1
1.85,0.434489,1
1.9,0.529644,1
1.95,0.443347,1
2,0.517248,1
2.05,0.449833,1
2.1,0.509411,1
2.15,0.459574,1
2.2,0.508546,1
2.25,0.461633,1
2.3,0.497977,1
2.35,0.484302,1
2.4,0.487958,1
2.45,0.471227,1
2.5,0.490846,1
2.55,0.453747,1
2.6,0.504136,1
2.65,0.45636,1
2.7,0.506895,1
2.75,0.461176,1
2.8,0.499294,1
2.85,0.471664,1
2.9,0.486543,1
2.95,0.480474,1
3,0.491669,1
3.05,0.481591,1
3.1,0.484435,1
3.15,0.475468,1
3.2,0.48573,1
3.25,0.487021,1
3.3,0.487917,1
3.35,0.479892,1
3.4,0.49149,1
3.45,0.475721,1
3.5,0.49057,1
3.55,0.480279,1
3.6,0.478292,1
3.65,0.493164,1
3.7,0.464372,1
3.75,0.491656,1
3.8,0.468183,1
3.85,0.500143,1
3.9,0.462585,1
3.95,0.503066,1
4,0.465286,1
4.05,0.504407,1
4.1,0.447713,1
4.15,0.515564,1
4.2,0.454784,1
4.25,0.521492,1
4.3,0.445895,1
4.35,0.507436,1
4.4,0.464617,1
4.45,0.494446,1
4.5,0.475215,1
4.55,0.484782,1
4.6,0.479235,1
4.65,0.485374,1
4.7,0.484567,1
4.75,0.494203,1
4.8,0.471318,1
4.85,0.495505,1
4.9,0.479081,1
4.95,0.495792,1
5,0.441892,1
