Graph,,
Time (Seconds),omegaMes (User unit),omegaRef (User unit)
0,Null,Null
0.05,0,1
0.1,0.849048,1
0.15,0.978236,1
0.2,1.028641,1
0.25,0.982099,1
0.3,1.011984,1
0.35,0.976332,1
0.4,1.007603,1
0.45,1.002329,1
0.5,0.995519,1
0.55,1.0045,1
0.6,1.018886,1
0.65,0.974085,1
0.7,1.020963,1
0.75,1.00372,1
0.8,0.986647,1
0.85,1.016312,1
0.9,1.00201,1
0.95,0.984897,1
1,1.02945,1
1.05,0.967617,1
1.1,0.979607,1
1.15,1.042087,1
1.2,1.011222,1
1.25,0.9631,1
1.3,0.983762,1
1.35,1.027003,1
1.4,0.981649,1
1.45,1.00596,1
1.5,1.002401,1
1.55,0.989122,1
1.6,1.01071,1
1.65,0.987698,1
1.7,0.995794,1
1.75,1.030267,1
1.8,0.991913,1
1.85,1.01553,1
1.9,0.991477,1
1.95,0.993564,1
2,0.983298,1
2.05,1.028338,1
2.1,0.992298,1
2.15,1.001805,1
2.2,0.998713,1
2.25,0.98458,1
2.3,1.013722,1
2.35,1.004478,1
2.4,0.960784,1
2.45,1.055993,1
2.5,0.977012,1
2.55,0.98496,1
2.6,0.997802,1
2.65,1.027296,1
2.7,0.989205,1
2.75,0.981514,1
2.8,0.984499,1
2.85,1.03384,1
2.9,0.972972,1
2.95,1.030952,1
3,0.970735,1
3.05,1.022725,1
3.1,1.000516,1
3.15,1.010345,1
3.2,0.98239,1
3.25,1.005054,1
3.3,1.005288,1
3.35,1.006905,1
3.4,1.009474,1
3.45,0.997464,1
3.5,0.993934,1
3.55,0.992208,1
3.6,0.981045,1
3.65,1.023579,1
3.7,1.006776,1
3.75,0.976086,1
3.8,1.010372,1
3.85,1.020108,1
3.9,0.982154,1
3.95,0.988546,1
4,1.009096,1
4.05,1.00761,1
4.1,0.983619,1
4.15,1.00211,1
4.2,0.966153,1
4.25,1.083548,1
4.3,0.984361,1
4.35,0.984673,1
4.4,0.990956,1
4.45,1.006933,1
4.5,1.011378,1
4.55,1.020159,1
4.6,0.984993,1
4.65,0.977663,1
4.7,0.983222,1
4.75,1.011619,1
4.8,1.007864,1
4.85,0.995333,1
4.9,0.99469,1
4.95,1.012237,1
5,0.995134,1
