Graph1,,
Time (Seconds),vRef (User unit),vMes (User unit)
5.1,0.1,0.118654
5.15,0.1,0.12829
5.2,0.1,0.105161
5.25,0.1,0.112209
5.3,0.1,0.099213
5.35,0.1,0.106069
5.4,0.1,0.098084
5.45,0.1,0.10309
5.5,0.1,0.100155
5.55,0.1,0.098757
5.6,0.1,0.100964
5.65,0.1,0.099819
5.7,0.1,0.09925
5.75,0.1,0.101607
5.8,0.1,0.097422
5.85,0.1,0.10208
5.9,0.1,0.09821
5.95,0.1,0.10141
6,0.1,0.099167
6.05,0.1,0.101257
6.1,0.1,0.09866
6.15,0.1,0.100297
6.2,0.1,0.100189
6.25,0.1,0.099577
6.3,0.1,0.100503
6.35,0.1,0.100553
6.4,0.1,0.099855
6.45,0.1,0.099328
6.5,0.1,0.10071
6.55,0.1,0.099633
6.6,0.1,0.101009
6.65,0.1,0.09921
6.7,0.1,0.100817
6.75,0.1,0.099225
6.8,0.1,0.100092
6.85,0.1,0.100165
6.9,0.1,0.099917
6.95,0.1,0.099963
7,0.1,0.100012
7.05,0.1,0.100127
7.1,0.1,0.099556
7.15,0.1,0.100359
7.2,0.1,0.099493
7.25,0.1,0.10115
7.3,0.1,0.098477
7.35,0.1,0.100368
7.4,0.1,0.100203
7.45,0.1,0.100027
7.5,0.1,0.100102
7.55,0.1,0.100193
7.6,0.1,0.100203
7.65,0.1,0.099683
7.7,0.1,0.099559
7.75,0.1,0.101122
7.8,0.1,0.098948
7.85,0.1,0.099667
7.9,0.1,0.10009
7.95,0.1,0.100373
8,0.1,0.100197
8.05,0.1,0.099874
8.1,0.1,0.100661
8.150001,0.1,0.099112
8.2,0.1,0.099919
8.25,0.1,0.100499
8.3,0.1,0.099381
8.35,0.1,0.101222
8.400001,0.1,0.098609
8.45,0.1,0.101136
8.5,0.1,0.098743
8.55,0.1,0.101836
8.6,0.1,0.098017
8.650001,0.1,0.102482
8.7,0.1,0.097448
8.75,0.1,0.10182
8.8,0.1,0.098313
8.85,0.1,0.101365
8.900001,0.1,0.09878
8.95,0.1,0.100981
9,0.1,0.099587
9.05,0.1,0.100564
9.1,0.1,0.098742
9.150001,0.1,0.100351
9.2,0.1,0.099304
9.25,0.1,0.100534
9.3,0.1,0.100304
9.35,0.1,0.1004
9.400001,0.1,0.10036
9.45,0.1,0.099546
9.5,0.1,0.100193
9.55,0.1,0.099102
9.6,0.1,0.100953
9.650001,0.1,0.099818
9.7,0.1,0.100682
9.75,0.1,0.099773
9.8,0.1,0.099761
9.85,0.1,0.100203
9.900001,0.1,0.099342
9.95,0.1,0.100553
10,0.1,0.099563
10.05,0.1,0.099548
10.1,0.3,0.100691
10.150001,0.3,0.255939
10.2,0.3,0.29937
10.25,0.3,0.281256
10.3,0.3,0.302988
10.35,0.3,0.293962
10.400001,0.3,0.300024
10.45,0.3,0.297557
10.5,0.3,0.30048
10.55,0.3,0.29841
10.6,0.3,0.300356
10.650001,0.3,0.299454
10.7,0.3,0.300323
10.75,0.3,0.299908
10.8,0.3,0.300463
10.85,0.3,0.300151
10.900001,0.3,0.299456
10.95,0.3,0.300436
11,0.3,0.299666
11.05,0.3,0.300133
11.1,0.3,0.300278
11.150001,0.3,0.299719
11.2,0.3,0.300817
11.25,0.3,0.298748
11.3,0.3,0.300568
11.35,0.3,0.30012
11.400001,0.3,0.299519
11.45,0.3,0.300383
11.5,0.3,0.299959
11.55,0.3,0.299643
11.6,0.3,0.300557
11.650001,0.3,0.29966
11.7,0.3,0.300154
11.75,0.3,0.299537
11.8,0.3,0.300413
11.85,0.3,0.299484
11.900001,0.3,0.30051
11.95,0.3,0.299277
12,0.3,0.300167
12.05,0.3,0.301119
12.1,0.3,0.299146
12.150001,0.3,0.300769
12.2,0.3,0.299297
12.25,0.3,0.300433
12.3,0.3,0.299854
12.35,0.3,0.299905
12.400001,0.3,0.299845
12.45,0.3,0.299968
