Graph2
Time (Seconds),Data (Meters),Data0 (Meters)
823.049988,-1.899252,-0.453326
823.099976,-1.894310,-0.452305
823.150024,-1.889360,-0.451537
823.200012,-1.884377,-0.451003
823.250000,-1.879409,-0.450720
823.299988,-1.874352,-0.450688
823.349976,-1.869410,-0.450902
823.400024,-1.864390,-0.451365
823.450012,-1.859474,-0.452069
823.500000,-1.854557,-0.452985
823.550049,-1.849684,-0.454198
823.599976,-1.844927,-0.455629
823.649963,-1.840166,-0.457314
823.699951,-1.835592,-0.459228
823.749939,-1.831052,-0.461370
823.799988,-1.826622,-0.463716
823.849976,-1.822342,-0.466341
823.899963,-1.818206,-0.469120
823.950012,-1.814190,-0.472103
824.000000,-1.810368,-0.475311
824.049988,-1.806676,-0.478685
824.099976,-1.802839,-0.482011
824.149963,-1.799488,-0.485674
824.200012,-1.796319,-0.489534
824.250000,-1.793343,-0.493567
824.299988,-1.790606,-0.497736
824.350037,-1.788031,-0.501992
824.400024,-1.785638,-0.506424
824.450012,-1.783479,-0.510861
824.500000,-1.781509,-0.515546
824.549927,-1.779793,-0.520169
824.599976,-1.778257,-0.524982
824.649963,-1.776946,-0.529756
824.699951,-1.775842,-0.534687
824.750000,-1.774966,-0.539545
824.799988,-1.774296,-0.544560
824.849976,-1.773851,-0.549514
824.899963,-1.773617,-0.554535
824.949951,-1.773593,-0.559498
825.000000,-1.773782,-0.564545
825.049988,-1.774171,-0.569491
825.099976,-1.774769,-0.574491
825.150024,-1.775553,-0.579407
825.200012,-1.776534,-0.584320
825.250000,-1.777709,-0.589185
825.299988,-1.779062,-0.594000
825.349976,-1.780599,-0.598752
825.400024,-1.782296,-0.603463
825.450012,-1.784172,-0.608094
825.500000,-1.786224,-0.612672
825.550049,-1.788389,-0.617134
825.599976,-1.790741,-0.621580
825.649963,-1.793189,-0.625910
825.699951,-1.795816,-0.630178
825.749939,-1.798611,-0.634350
825.799988,-1.801466,-0.638429
825.849976,-1.804506,-0.642380
825.899963,-1.807590,-0.646316
825.950012,-1.810810,-0.650168
826.000000,-1.814130,-0.653902
826.049988,-1.817567,-0.657559
826.099976,-1.821048,-0.661115
826.149963,-1.824658,-0.664605
826.200012,-1.828295,-0.667997
826.250000,-1.832058,-0.671332
826.299988,-1.835847,-0.674560
826.350037,-1.839719,-0.677726
826.400024,-1.843664,-0.680813
826.450012,-1.847653,-0.683822
826.500000,-1.851719,-0.686764
826.549927,-1.855797,-0.689618
826.599976,-1.859942,-0.692431
826.649963,-1.864110,-0.695175
826.699951,-1.868333,-0.697865
826.750000,-1.872587,-0.700497
826.799988,-1.876869,-0.703076
826.849976,-1.881179,-0.705615
826.899963,-1.885502,-0.708119
826.949951,-1.889862,-0.710580
827.000000,-1.894227,-0.713008
827.049988,-1.898620,-0.715411
827.099976,-1.903019,-0.717777
827.150024,-1.907430,-0.720133
827.200012,-1.911846,-0.722474
827.250000,-1.916270,-0.724806
827.299988,-1.920696,-0.727131
827.349976,-1.925123,-0.729455
827.400024,-1.929549,-0.731782
827.450012,-1.933969,-0.734117
827.500000,-1.938385,-0.736466
827.550049,-1.942790,-0.738831
827.599976,-1.947184,-0.741217
827.649963,-1.951566,-0.743630
827.699951,-1.955925,-0.746070
827.749939,-1.960269,-0.748547
827.799988,-1.964589,-0.751062
827.849976,-1.968882,-0.753623
827.899963,-1.973133,-0.756245
827.950012,-1.977371,-0.758911
828.000000,-1.981573,-0.761621
828.049988,-1.985727,-0.764390
828.099976,-1.989853,-0.767213
828.149963,-1.993934,-0.770112
828.200012,-1.997947,-0.773076
828.250000,-2.001919,-0.776124
828.299988,-2.005834,-0.779235
828.350037,-2.009683,-0.782460
828.400024,-2.013454,-0.785720
828.450012,-2.017174,-0.789097
828.500000,-2.020787,-0.792554
828.549927,-2.024324,-0.796068
828.599976,-2.027786,-0.799672
828.649963,-2.031138,-0.803366
828.699951,-2.034419,-0.807148
828.750000,-2.037590,-0.811013
828.799988,-2.040652,-0.814963
828.849976,-2.043594,-0.819009
828.899963,-2.046398,-0.823137
828.949951,-2.049100,-0.827347
829.000000,-2.051647,-0.831633
829.049988,-2.054070,-0.836065
829.099976,-2.056312,-0.840491
829.150024,-2.058443,-0.845023
829.200012,-2.060393,-0.849625
829.250000,-2.062186,-0.854289
829.299988,-2.063815,-0.859002
829.349976,-2.065276,-0.863818
829.400024,-2.066543,-0.868616
829.450012,-2.067630,-0.873550
829.500000,-2.068508,-0.878400
829.550049,-2.069200,-0.883438
829.599976,-2.069695,-0.888360
829.649963,-2.070010,-0.893384
829.699951,-2.070112,-0.898364
829.749939,-2.069998,-0.903392
829.799988,-2.069670,-0.908365
829.849976,-2.069125,-0.913363
829.899963,-2.068357,-0.918308
829.950012,-2.067383,-0.923189
830.000000,-2.066200,-0.928032
830.049988,-2.064785,-0.932837
830.099976,-2.063187,-0.937551
830.149963,-2.061321,-0.942243
830.200012,-2.059295,-0.946748
830.250000,-2.057058,-0.951204
830.299988,-2.054585,-0.955584
830.350037,-2.051944,-0.959864
830.400024,-2.049081,-0.963922
830.450012,-2.045984,-0.967891
830.500000,-2.042801,-0.971692
830.549927,-2.039341,-0.975369
830.599976,-2.035734,-0.978789
830.649963,-2.031962,-0.982100
830.699951,-2.028035,-0.985188
830.750000,-2.023868,-0.988051
830.799988,-2.019671,-0.990689
830.849976,-2.015293,-0.993177
830.899963,-2.010849,-0.995408
830.949951,-2.006265,-0.997444
831.000000,-2.001628,-0.999240
831.049988,-1.996909,-1.000822
831.099976,-1.992065,-1.002163
831.150024,-1.987212,-1.003253
831.200012,-1.982253,-1.004098
831.250000,-1.977290,-1.004695
831.299988,-1.972298,-1.005046
831.349976,-1.967295,-1.005147
831.400024,-1.962304,-1.004998
831.450012,-1.957316,-1.004605
831.500000,-1.952346,-1.003964
831.550049,-1.947479,-1.003085
831.599976,-1.942528,-1.001930
831.649963,-1.937796,-1.000586
831.699951,-1.932995,-0.998984
831.749939,-1.928367,-0.997196
831.799988,-1.923771,-0.995134
831.849976,-1.919337,-0.992895
831.899963,-1.914997,-0.990405
831.950012,-1.910775,-0.987713
832.000000,-1.906646,-0.984758
832.049988,-1.902771,-0.981744
